theory,global_attribute_on_unnamed_lemma,use_apply,use_by,counter_example_finder,bad_style_command,lemma_transforming_attribute,auto_structural_composition,force_failure,low_level_apply_chain,unfinished_proof,global_attribute_changes,complex_isar_initial_method,diagnostic_command,simplifier_isar_initial_method,short_name,implicit_rule,unrestricted_auto,use_isar,proof_finder,smt_oracle,axiomatization_with_where,complex_method,apply_isar_switch,tactic_proofs,axiomatization_with_where
Abstract-Hoare-Logics.PTermi,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0
Abstract-Hoare-Logics.PsHoare,0,1,1,0,0,0,0,15,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,3,0
Abstract-Hoare-Logics.PsHoareTotal,1,11,10,0,0,1,0,55,0,0,0,0,0,0,0,0,0,460,0,0,0,0,0,54,0
Abstract-Hoare-Logics.PsLang,0,9,1,0,0,2,0,5,0,0,0,0,0,0,0,0,2,52,0,0,0,0,0,3,0
Abstract-Hoare-Logics.PsTermi,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0
Abstract-Hoare-Logics.Termi,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0
Abstract-Rewriting.Abstract_Rewriting,0,800,0,0,0,0,0,141,0,0,0,2,0,5,0,2,0,0,0,0,0,3,0,0,0
Abstract-Rewriting.Relative_Rewriting,0,489,0,0,0,0,0,84,0,0,0,1,0,7,0,1,0,0,0,0,0,1,0,1,0
Abstract-Rewriting.SN_Order_Carrier,0,180,0,0,0,0,0,33,0,0,0,0,0,3,0,0,0,0,0,0,0,30,0,0,0
Abstract-Rewriting.SN_Orders,0,48,0,0,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Abstract-Rewriting.Seq,0,125,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Abstract_Completeness.Abstract_Completeness,0,67,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abstract_Completeness.Propositional_Logic,0,14,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Abstract_Soundness.Finite_Proof_Soundness,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abstract_Soundness.Infinite_Proof_Soundness,0,94,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Ackermanns_not_PR.Primrec,0,41,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actuarial_Mathematics.Interest,0,129,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,115,0,0,0,5,0,0,0
Actuarial_Mathematics.Preliminaries,0,38,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Adaptive_State_Counting.ASC_Example,0,85,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adaptive_State_Counting.ASC_Hoare,0,89,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adaptive_State_Counting.ASC_LB,0,620,0,0,0,0,0,116,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Adaptive_State_Counting.ASC_Sufficiency,0,165,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adaptive_State_Counting.ASC_Suite,0,397,0,0,0,0,0,49,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Adaptive_State_Counting.ATC,0,157,0,0,0,0,0,17,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Adaptive_State_Counting.FSM,0,396,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adaptive_State_Counting.FSM_Product,0,347,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Affine_Arithmetic.Affine_Approximation,0,641,0,0,0,0,0,119,0,0,0,0,1,0,0,1,26,149,0,0,0,0,1,0,0
Affine_Arithmetic.Affine_Arithmetic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Affine_Arithmetic.Affine_Arithmetic_Auxiliarities,0,17,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Affine_Arithmetic.Affine_Code,0,95,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Affine_Arithmetic.Affine_Form,0,366,0,0,0,1,0,80,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0
Affine_Arithmetic.Counterclockwise,0,45,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Affine_Arithmetic.Counterclockwise_2D_Arbitrary,0,222,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Affine_Arithmetic.Counterclockwise_2D_Strict,0,130,0,0,0,0,0,37,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0
Affine_Arithmetic.Counterclockwise_Vector,0,40,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Affine_Arithmetic.Ex_Affine_Approximation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Affine_Arithmetic.Ex_Ineqs,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Affine_Arithmetic.Ex_Inter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Affine_Arithmetic.Executable_Euclidean_Space,0,175,1,0,0,0,0,37,0,0,0,0,0,0,0,0,40,115,0,0,0,0,0,0,0
Affine_Arithmetic.Float_Real,0,14,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Affine_Arithmetic.Floatarith_Expression,0,319,0,0,0,0,0,37,0,0,0,0,0,0,0,0,32,129,0,0,0,0,0,0,0
Affine_Arithmetic.Intersection,0,524,0,0,0,0,0,136,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Affine_Arithmetic.Optimize_Float,0,9,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Affine_Arithmetic.Optimize_Integer,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Affine_Arithmetic.Polygon,0,86,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Affine_Arithmetic.Print,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Affine_Arithmetic.Straight_Line_Program,0,115,0,0,0,0,0,31,0,0,0,0,0,0,0,0,20,74,0,0,0,0,0,0,0
Aggregation_Algebras.Aggregation_Algebras,0,18,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aggregation_Algebras.Linear_Aggregation_Algebras,0,209,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,22,0,0,0,2,0,0,0
Aggregation_Algebras.Matrix_Aggregation_Algebras,0,207,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,32,0,0,0,2,0,0,0
Aggregation_Algebras.Semigroups_Big,0,142,1,0,0,0,0,67,0,0,0,0,0,0,1,1,1,37,0,0,0,0,0,0,0
Akra_Bazzi.Akra_Bazzi,0,305,0,0,0,0,0,93,0,0,0,0,0,2,0,0,0,3,0,0,0,0,2,0,0
Akra_Bazzi.Akra_Bazzi_Approximation,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Akra_Bazzi.Akra_Bazzi_Asymptotics,0,76,0,0,0,0,0,40,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0
Akra_Bazzi.Akra_Bazzi_Library,0,64,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
Akra_Bazzi.Akra_Bazzi_Method,0,46,2,0,0,0,0,18,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0
Akra_Bazzi.Akra_Bazzi_Real,0,380,0,0,0,0,0,186,0,0,0,0,0,0,1,0,0,29,0,0,0,1,0,0,0
Akra_Bazzi.Eval_Numeral,0,19,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
